vbs,vgs,irg,sqrt(irg)
-2,1.51E+00,5.39E-06,0.002322619642
-2,1.52E+00,6.46E-06,0.002542171316
-2,1.53E+00,7.63E-06,0.002761511543
-2,1.54E+00,8.88E-06,0.002980641206
-2,1.55E+00,1.02E-05,0.003199560907
-2,1.56E+00,1.17E-05,0.003417993563
-2,1.57E+00,1.31E-05,0.003621705399
-2,1.58E+00,1.46E-05,0.003824728749
-2,1.59E+00,1.62E-05,0.00402708952
-2,1.60E+00,1.79E-05,0.004228808343
-2,1.61E+00,1.96E-05,0.004429909706
-2,1.62E+00,2.14E-05,0.004630413588
-2,1.63E+00,2.33E-05,0.004830340568
-2,1.64E+00,2.53E-05,0.005029707745
-2,1.65E+00,2.73E-05,0.005228535168
-2,1.66E+00,2.95E-05,0.005426837016
-2,1.67E+00,3.16E-05,0.005624629766
-2,1.68E+00,3.39E-05,0.005821929234
-2,1.69E+00,3.62E-05,0.006018746547
-2,1.70E+00,3.86E-05,0.006215096138
-2,1.71E+00,4.11E-05,0.006410989783
-2,1.72E+00,4.36E-05,0.006606439283
-2,1.73E+00,4.63E-05,0.006801455727
-2,1.74E+00,4.89E-05,0.006996047456
-2,1.75E+00,5.17E-05,0.007190226005
-2,1.76E+00,5.45E-05,0.007384000271
-2,1.77E+00,5.74E-05,0.007577378175
-2,1.78E+00,6.04E-05,0.007770368717
-2,1.79E+00,6.34E-05,0.007962979342
-2,1.80E+00,6.65E-05,0.008155217348
-2,1.81E+00,6.97E-05,0.008347090511
-2,1.82E+00,7.29E-05,0.008538604687
-2,1.83E+00,7.62E-05,0.008729768038
-2,1.84E+00,7.96E-05,0.008920585183
-2,1.85E+00,8.30E-05,0.009111062507
-2,1.86E+00,8.65E-05,0.009301205836
-2,1.87E+00,9.01E-05,0.00949102102
-2,1.88E+00,9.37E-05,0.0096805129
-2,1.89E+00,9.74E-05,0.009869685912
-2,1.90E+00,1.01E-04,0.0100585486
-2,1.91E+00,1.05E-04,0.01024709715
-2,1.92E+00,1.09E-04,0.01043534379
-2,1.93E+00,1.13E-04,0.01062329516
-2,1.94E+00,1.17E-04,0.01081094353
-2,1.95E+00,1.21E-04,0.01099830441
-2,1.96E+00,1.25E-04,0.01118537885
-2,1.97E+00,1.29E-04,0.01137216778
-2,1.98E+00,1.34E-04,0.01155867639
-2,1.99E+00,1.38E-04,0.01174490954
-2,2.00E+00,1.42E-04,0.01193086753
-4,0.00E+00,4.03E-12,0.000002008033864
-4,1.00E-02,4.05E-12,0.0000020130077
-4,2.00E-02,4.07E-12,0.000002017969276
-4,3.00E-02,4.09E-12,0.000002022918683
-4,4.00E-02,4.11E-12,0.000002027856011
-4,5.00E-02,4.13E-12,0.000002032781346
-4,6.00E-02,4.15E-12,0.000002037694776
-4,7.00E-02,4.17E-12,0.000002042596387
-4,8.00E-02,4.19E-12,0.000002047486264
-4,9.00E-02,4.21E-12,0.00000205236449
-4,1.00E-01,4.23E-12,0.000002057231149
-4,1.10E-01,4.25E-12,0.000002062086322
-4,1.20E-01,4.27E-12,0.000002066929849
-4,1.30E-01,4.29E-12,0.000002071762535
-4,1.40E-01,4.31E-12,0.000002076583492
-4,1.50E-01,4.33E-12,0.000002081393764
-4,1.60E-01,4.35E-12,0.000002086192704
-4,1.70E-01,4.37E-12,0.000002090980631
-4,1.80E-01,4.39E-12,0.00000209575762
-4,1.90E-01,4.41E-12,0.000002100523506
-4,2.00E-01,4.43E-12,0.000002105279079
-4,2.10E-01,4.45E-12,0.00000211002346
-4,2.20E-01,4.47E-12,0.000002114757433
-4,2.30E-01,4.49E-12,0.000002119481069
-4,2.40E-01,4.51E-12,0.000002124193965
-4,2.50E-01,4.53E-12,0.000002128896428
-4,2.60E-01,4.55E-12,0.000002133588292
-4,2.70E-01,4.57E-12,0.000002138270095
-4,2.80E-01,4.59E-12,0.00000214294167
-4,2.90E-01,4.61E-12,0.000002147603083
-4,3.00E-01,4.63E-12,0.000002152254632
-4,3.10E-01,4.65E-12,0.000002156895918
-4,3.20E-01,4.67E-12,0.000002161527007
-4,3.30E-01,4.69E-12,0.000002166148425
-4,3.40E-01,4.71E-12,0.000002170760005
-4,3.50E-01,4.73E-12,0.000002175361809
-4,3.60E-01,4.75E-12,0.000002179953899
-4,3.70E-01,4.77E-12,0.000002184536335
-4,3.80E-01,4.79E-12,0.000002189109408
-4,3.90E-01,4.81E-12,0.000002193672719
-4,4.00E-01,4.83E-12,0.000002198226558
-4,4.10E-01,4.85E-12,0.000002202770755
-4,4.20E-01,4.87E-12,0.000002207305824
