vsg,vsd,irg
3,1.86E+00,4.75E-04
3,1.87E+00,4.76E-04
3,1.88E+00,4.77E-04
3,1.89E+00,4.78E-04
3,1.90E+00,4.80E-04
3,1.91E+00,4.81E-04
3,1.92E+00,4.82E-04
3,1.93E+00,4.83E-04
3,1.94E+00,4.84E-04
3,1.95E+00,4.85E-04
3,1.96E+00,4.86E-04
3,1.97E+00,4.88E-04
3,1.98E+00,4.89E-04
3,1.99E+00,4.90E-04
3,2.00E+00,4.91E-04
3,2.01E+00,4.92E-04
3,2.02E+00,4.93E-04
3,2.03E+00,4.94E-04
3,2.04E+00,4.95E-04
3,2.05E+00,4.96E-04
3,2.06E+00,4.97E-04
3,2.07E+00,4.97E-04
3,2.08E+00,4.98E-04
3,2.09E+00,4.99E-04
3,2.10E+00,5.00E-04
3,2.11E+00,5.01E-04
3,2.12E+00,5.02E-04
3,2.13E+00,5.02E-04
3,2.14E+00,5.03E-04
3,2.15E+00,5.04E-04
3,2.16E+00,5.04E-04
3,2.17E+00,5.05E-04
3,2.18E+00,5.06E-04
3,2.19E+00,5.06E-04
3,2.20E+00,5.07E-04
3,2.21E+00,5.08E-04
3,2.22E+00,5.08E-04
3,2.23E+00,5.09E-04
3,2.24E+00,5.09E-04
3,2.25E+00,5.10E-04
3,2.26E+00,5.10E-04
3,2.27E+00,5.10E-04
3,2.28E+00,5.11E-04
3,2.29E+00,5.11E-04
3,2.30E+00,5.12E-04
3,2.31E+00,5.12E-04
3,2.32E+00,5.12E-04
3,2.33E+00,5.13E-04
3,2.34E+00,5.13E-04
3,2.35E+00,5.13E-04
3,2.36E+00,5.13E-04
3,2.37E+00,5.13E-04
3,2.38E+00,5.14E-04
3,2.39E+00,5.14E-04
3,2.40E+00,5.14E-04
3,2.41E+00,5.14E-04
3,2.42E+00,5.14E-04
3,2.43E+00,5.14E-04
3,2.44E+00,5.14E-04
3,2.45E+00,5.14E-04
3,2.46E+00,5.14E-04
3,2.47E+00,5.14E-04
3,2.48E+00,5.14E-04
3,2.49E+00,5.14E-04
3,2.50E+00,5.15E-04
3,2.51E+00,5.15E-04
3,2.52E+00,5.15E-04
3,2.53E+00,5.15E-04
3,2.54E+00,5.15E-04
3,2.55E+00,5.15E-04
3,2.56E+00,5.15E-04
3,2.57E+00,5.15E-04
3,2.58E+00,5.15E-04
3,2.59E+00,5.15E-04
3,2.60E+00,5.15E-04
3,2.61E+00,5.15E-04
3,2.62E+00,5.16E-04
3,2.63E+00,5.16E-04
3,2.64E+00,5.16E-04
3,2.65E+00,5.16E-04
3,2.66E+00,5.16E-04
3,2.67E+00,5.16E-04
3,2.68E+00,5.16E-04
3,2.69E+00,5.16E-04
